video,numFrame,seconds,fps,rfps,subset,featureFrame,duration_second,duration_frame
v_---9CpRcKoU,418,14.07,30,29.70859986,training,400,14.07,418
v_--0edUL8zmA,2303,92.18,25,24.98372749,training,2304,92.18,2303
v_--1DO2V4K74,6337,211.53,30,29.95792559,validation,6336,211.53,6337
v_--6bJUbfpnQ,647,26.75,24,24.18691589,validation,624,26.75,647
v_--mFXNrRZ5E,2931,97.803,30,29.96840588,training,2912,97.8,2931
v_--tFD65KaK4,2163,86.425,25,25.02748047,testing,2160,86.42,2163
v_--veKG73Di4,3458,115.45,30,29.95236033,training,3456,115.45,3458
v_-01K1HxqPB8,6469,215.71400000000003,30,29.98878144,validation,6464,215.71,6469
v_-02DygXbn6w,3285,109.66799999999999,30,29.95404311,validation,3280,109.67,3285
v_-06dWmCzbxY,982,65.527,15,14.9861889,training,976,65.53,982
v_-0NfmccuL9Q,6459,215.69099999999997,30,29.94561665,training,6464,215.69,6459
v_-0i3BpAQAgE,1909,64.831,29,29.44578982,training,1904,64.83,1909
v_-0r0HEwAYiQ,1307,43.68,30,29.92216117,validation,1312,43.68,1307
v_-1CEVKeAyA8,6063,202.386,30,29.95760576,training,6064,202.39,6063
v_-1EC1ZP6aC4,5102,170.18,30,29.98002115,testing,5104,170.18,5102
v_-1IBHYS3L-Y,7574,252.81900000000002,30,29.95819143,training,7568,252.82,7574
v_-1IlTIWPNs4,2580,86.05,30,29.98256827,training,2576,86.05,2580
v_-1K773_2MIY,2163,72.24,30,29.94186047,testing,2160,72.24,2163
v_-2DajzzRwn0,5733,191.14700000000002,30,29.99262348,training,5728,191.15,5733
v_-2VNLsk1s34,6371,212.65,30,29.96002822,training,6368,212.65,6371
v_-2VzSMAdzl4,6695,223.445,30,29.96263063,validation,6688,223.44,6695
v_-2dxp-mv2zo,3788,126.456,30,29.95508319,training,3792,126.46,3788
v_-2veyKpAwXU,4755,158.69,30,29.96408091,testing,4752,158.69,4755
v_-2xeOGDeDMU,4384,148.097,30,29.60222017,testing,4384,148.1,4384
v_-3JfzLB02vE,4866,162.424,30,29.958626799999998,testing,4864,162.42,4866
v_-3Ss9jSRbKk,2026,67.663,30,29.9425092,training,2016,67.66,2026
v_-3baQGb2zIY,3129,104.537,30,29.9319858,training,3120,104.54,3129
v_-4Q_zG9EChY,4976,166.11599999999999,30,29.95497122,training,4976,166.12,4976
v_-4VuHlphgL4,3774,157.525,24,23.95810189,training,3776,157.53,3774
v_-4WdzYpCJPU,6099,203.36,30,29.991148699999997,training,6096,203.36,6099
v_-5K3KZ6fHuI,1184,39.591,30,29.90578667,training,1184,39.59,1184
v_-5KAycAQlC4,4177,139.436,30,29.95639577,training,4176,139.44,4177
v_-5Q7iNtaWCU,2301,76.77,30,29.97264556,validation,2304,76.77,2301
v_-5Yp-vToI2E,2790,116.47,24,23.95466644,training,2784,116.47,2790
v_-5c9WHk408g,3560,142.5,25,24.98245614,validation,3552,142.5,3560
v_-5h2E52tl4Q,2861,114.521,25,24.98231765,training,2864,114.52,2861
v_-5xEgcRn1-g,3342,111.572,30,29.95375184,testing,3344,111.57,3342
v_-5xWaBSwnjY,2147,143.33700000000002,15,14.97868659,training,2144,143.34,2147
v_-6dz6tBH77I,240,8.06,30,29.77667494,testing,240,8.06,240
v_-6prmNqkAN8,1177,47.137,25,24.96976897,training,1168,47.14,1177
v_-76d-7Ju7L0,5754,191.89,30,29.98592944,validation,5744,191.89,5754
v_-79MZQX4CEA,1953,65.23,30,29.94021156,validation,1952,65.23,1953
v_-7eQ2bHNPUw,5920,197.46,30,29.980755600000006,validation,5920,197.46,5920
v_-7wfTI8Qv1Q,240,8.081,30,29.69929464,validation,240,8.08,240
v_-8SgY4vW4xM,6654,222.123,30,29.95637552,testing,6656,222.12,6654
v_-8awLlFLcQc,4826,161.12,30,29.95283019,validation,4816,161.12,4826
v_-9B2XtqICFw,5514,184.3,30,29.91861096,training,5504,184.3,5514
v_-9KxEw6L9T8,3769,125.806,30,29.95882549,testing,3760,125.81,3769
v_-9dlY4JGGR0,4357,145.357,30,29.97447663,testing,4352,145.36,4357
v_-9l1Rh10bO8,2205,92.02,24,23.96218213,validation,2208,92.02,2205
v_-9n7u53oAZk,512,20.526999999999997,25,24.94275832,testing,512,20.53,512
v_-9rt8p7BgnY,2724,91.069,30,29.91138587,testing,2720,91.07,2724
v_-A6e83tl4Y8,6473,215.83,30,29.99119678,validation,6464,215.83,6473
v_-AUKiMfqga4,5936,198.16,30,29.95559144,training,5936,198.16,5936
v_-AaOr1DI2no,3408,113.84700000000001,30,29.93491265,training,3408,113.85,3408
v_-AjZCBMb4qU,2916,116.7,25,24.98714653,training,2912,116.7,2916
v_-ApIBtH_pVc,3424,114.31200000000001,30,29.95311078,training,3424,114.31,3424
v_-ArIbKfZc2s,6061,202.13,30,29.9856528,training,6064,202.13,6061
v_-BVpaPkee2I,2889,96.39,30,29.971988800000002,training,2880,96.39,2889
v_-C9mAKWi9Ho,2299,92.021,25,24.9834277,training,2304,92.02,2299
v_-CEi03j4-Bw,306,10.264000000000001,30,29.81293843,validation,304,10.26,306
v_-CS7U_XrkPI,3078,102.70200000000001,30,29.97020506,training,3056,102.7,3078
v_-Cefl3S_L-w,2320,82.919,28,27.97911215,training,2320,82.92,2320
v_-CqVpCRxwTY,1286,43.143,30,29.80784832,testing,1264,43.14,1286
v_-DTxZliHCTE,1403,46.91,30,29.90833511,training,1392,46.91,1403
v_-DaX_1bBNAo,679,22.872,30,29.68695348,training,656,22.87,679
v_-DphPPTybSY,3958,158.384,25,24.98989797,training,3952,158.38,3958
v_-DpnaHTk8PA,6280,209.607,30,29.96083146,validation,6272,209.61,6280
v_-DzTAnE1t3w,3591,149.839,24,23.96572321,validation,3584,149.84,3591
v_-E0tJqqOh_4,4307,143.616,30,29.98969474,testing,4304,143.62,4307
v_-E2dqOULQgY,2043,68.337,30,29.895956800000004,validation,2032,68.34,2043
v_-E9YQ_Uhu50,1857,62.09,30,29.90819778,validation,1856,62.09,1857
v_-EIsT868Trw,4735,157.9,30,29.98733376,testing,4736,157.9,4735
v_-EKpX0t44pQ,3981,132.82,30,29.97289565,training,3984,132.82,3981
v_-EswFKNXjMo,1489,49.736999999999995,30,29.9374711,testing,1488,49.74,1489
v_-FWGLSfI13Q,6681,223.051,30,29.95279107,validation,6672,223.05,6681
v_-FbWTFJ3kV0,1220,49.0,25,24.89795918,training,1216,49.0,1220
v_-Fk62y-1WHo,3615,120.56,30,29.98506967,testing,3616,120.56,3615
v_-FpAgvltiC4,3679,147.215,25,24.99065992,testing,3680,147.22,3679
v_-G-sh-NhYtk,623,20.83,30,29.90878541,training,624,20.83,623
v_-G8N5FxjZbw,2914,116.61,25,24.98928051,training,2912,116.61,2914
v_-GRvxWH4axc,656,21.967,30,29.86297628,validation,656,21.97,656
v_-GYS5LjMTZo,3237,108.21,30,29.914056,testing,3232,108.21,3237
v_-HHybw--2XA,3380,135.257,25,24.9894645,training,3376,135.26,3380
v_-HKsU_uFUWo,3577,119.281,30,29.9880115,training,3568,119.28,3577
v_-HZtgP41I_o,6230,207.935,30,29.96128598,validation,6224,207.94,6230
v_-HaFSqzE4Nc,1604,53.52,30,29.97010463,training,1600,53.52,1604
v_-Hbqom0pAeo,2044,81.828,25,24.97922472,testing,2048,81.83,2044
v_-HpCLXdtcas,698,23.34,30,29.90574122,testing,688,23.34,698
v_-IMXSEIabMM,3786,126.39,30,29.954901500000002,testing,3776,126.39,3786
v_-IdOL3LhhCM,651,26.541,25,24.52808862,testing,656,26.54,651
v_-IkL9Kq9zfQ,1035,41.518,25,24.92894648,training,1040,41.52,1035
v_-JhWjGDPHMY,4472,149.282,30,29.9567262,training,4464,149.28,4472
v_-Jp86pFKlsw,825,27.609,30,29.88156036,validation,816,27.61,825
v_-JqLjPz-07E,5563,222.59,25,24.99213801,training,5568,222.59,5563
v_-KGo1Xq3wQ8,2293,76.51,30,29.96993857,testing,2288,76.51,2293
v_-KWToNMY1Lc,2587,86.37899999999999,30,29.949409000000003,training,2592,86.38,2587
v_-K_cgWfJxiU,2987,101.03,30,29.5654756,training,2992,101.03,2987
v_-KbDXeEoQ1E,6204,207.1,30,29.95654273,training,6208,207.1,6204
v_-KjJxkFUhv4,5876,235.1,25,24.99361974,training,5872,235.1,5876
v_-Kmx-BCAsQc,1952,65.16,30,29.95702885,training,1952,65.16,1952
v_-L-LiCO1v-s,4861,162.49,30,29.91568712,training,4864,162.49,4861
v_-Lxv663IEaI,2210,73.82,30,29.93768626,validation,2208,73.82,2210
v_-M-Dr6HqDhU,1285,53.685,24,23.93592251,validation,1280,53.69,1285
v_-MB6Wxglgzw,5895,196.604,30,29.98413054,validation,5888,196.6,5895
v_-MFzpFMdWZs,679,46.97,14,14.45603577,validation,656,46.97,679
v_-ML_fQxRrFg,6278,209.33,30,29.99092342,testing,6256,209.33,6278
v_-MbZ-W0AbN0,2313,77.23,30,29.94950149,testing,2304,77.23,2313
v_-MldnTjJ-zE,5355,178.75,30,29.95804196,validation,5360,178.75,5355
v_-Mpj6_BEodc,2377,79.32,30,29.96722138,testing,2368,79.32,2377
v_-NM-0NZXRNw,4822,201.18,24,23.96858535,validation,4816,201.18,4822
v_-NndIs9BaS4,3192,106.58,30,29.94933383,training,3184,106.58,3192
v_-OH1BDqao9w,6248,208.562,30,29.95751863,validation,6240,208.56,6248
v_-OLPVREPy6Y,4103,171.085,24,23.98223105,validation,4096,171.09,4103
v_-Pa52Pf_Raw,6623,221.1,30,29.9547716,training,6624,221.1,6623
v_-PbWrGLuHT8,1589,53.13,30,29.90777339,training,1584,53.13,1589
v_-PcbohemKh0,5027,201.13,25,24.99378511,testing,5024,201.13,5027
v_-PpuDhbMdoY,1683,56.17,30,29.96261349,testing,1680,56.17,1683
v_-Q03gEypilg,6085,202.9,30,29.99014293,training,6080,202.9,6085
v_-Q1l3kk_Uew,1003,40.24,25,24.92544732,testing,1008,40.24,1003
v_-Q9WotFs1MI,1699,56.68,30,29.97529993,training,1696,56.68,1699
v_-QuFk_ThRNg,3382,135.373,25,24.98282523,training,3376,135.37,3382
v_-ROljbRVlos,215,7.222,30,29.77014677,training,208,7.22,215
v_-Rv7tGWehRE,598,60.071000000000005,10,9.954886717,training,576,60.07,598
v_-SCRtjT7dto,3792,126.57,30,29.95970609,validation,3792,126.57,3792
v_-SYV9IB-36s,5281,220.17,24,23.98601081,training,5280,220.17,5281
v_-SggX9E_LOA,1219,40.798,30,29.87891563,testing,1200,40.8,1219
v_-Sp-gOEGy2o,6871,229.34,30,29.95988489,training,6864,229.34,6871
v_-Sqc9fQ7vpk,812,27.12,30,29.94100295,testing,816,27.12,812
